tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882905639751532545,5895,219,7,0,0,0
882905639114207232,352,26,957,0,8164,0
882905636882718720,61,3,268,0,14164,0
882905635402199040,1415,83,1497,0,43666,0
882905633766256641,256,20,1296,0,24294,0
882905632201822208,126,0,534,0,625,0
882905624887119873,74,1,70,0,4234,0
882905621925740545,38,1,107,0,16779,0
882905612685787136,55,1,17,0,1176,0
882905611557580802,88,0,384,0,1569,0
882905610664251392,67,6,191,0,997,0
882905607417716736,256,20,1296,0,24294,0
882905602220974080,827,20,4995,0,37697,0
882905601520672768,101,15,148,0,7092,0
882905595229032448,4358,172,1162,0,60034,0
882905591987007488,0,0,21,0,1,0
882905580221865984,252,52,500,0,24989,0
882905578456133637,4,0,3,0,1,1
882905576023273472,17007,492,3014,0,20179,0
882905572575776769,563,40,351,0,34711,0
882905569446768640,3347,195,1270,0,124220,0
882905568129806336,297,5,2318,0,31678,0
882905563931131904,1832,152,1646,0,62518,0
882905562916179969,2922,26,169,0,12,0
882905551813750784,176,13,158,0,2483,0
882905549108596737,263,8,621,0,0,0
882905548471119872,83,2,111,0,3473,0
882905546982133761,25786,105,3544,0,62099,0
882905546436825088,168,28,139,0,29686,0
882905542729113600,282,48,241,0,28489,0
882905539289595904,49582,212,42704,0,108893,0
882905537376960513,203,22,383,0,483,0
882905536903118848,2,0,25,0,99,0
882905532318744576,280,18,691,0,4565,0
882905529563176962,3561,35,3273,0,40436,0
882905521262653440,337,91,65,0,7606,0
882905521015095296,0,0,0,0,0,0
882905518884442113,144,10,125,0,9166,0
882905513087971328,743,6,137,0,143217,0
882905512085520384,470,30,1035,0,11047,0
882905509245800448,1830,26,198,0,11390,0
882905503764033540,25,0,71,0,447,0
882905500408569856,8,0,68,0,44,0
882905485380263936,14,0,15,0,2508,0
882905482377142273,295,8,1104,0,6233,0
882905481341157376,383,36,1050,0,20567,0
882905475662192640,3347,195,1270,0,124220,0
882905475192205312,66,0,461,0,2449,0
882905471308382208,137,9,547,0,435,0
882905470834442240,1099,21,124,0,21352,0
882905465491001344,237,73,380,0,49253,0
882905465172000768,74557,411,743,0,19543,0
882905463683022848,185,1,1095,0,19845,0
882905461585977345,170,3,111,0,44,1
882905460973735937,0,0,5,0,18,0
882905459589435392,163,15,812,0,342,0
